method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,16,1.0,0.22633893883893882,0.23948653607468565,0.45,0.25570980743394534
AE_VAD_none,16,10.0,0.28674148896371116,0.2564117397508581,0.5,0.2795193312434691
AE_VAD_affective,16,1.0,0.29251997095134347,0.25787651046271737,0.49,0.27894461859979097
