geometry_target,neighbors,seeds,components_mean,largest_component_fraction_mean,euclidean_spearman_mean,euclidean_spearman_sd,geodesic_spearman_mean,geodesic_spearman_sd,euclidean_r2_mean,geodesic_r2_mean,combined_r2_mean,incremental_r2_mean,incremental_r2_sd
affective,10,5,1.0,1.0,0.3852160669464452,0.026726685539247477,0.3686327308048295,0.02507310343166531,0.18854857683919074,0.162990028821493,0.18726624200131725,-0.0012823348378735,0.0014654380718605448
affective,20,5,1.0,1.0,0.38752396136894146,0.026726561408282647,0.3732860573755138,0.025338408261885888,0.18998517224231412,0.16808649818551152,0.18887759206711768,-0.0011075801751964543,0.0016126133033114883
affective,40,5,1.0,1.0,0.3903439294986397,0.027319119698901887,0.37568707822226866,0.02575900652146211,0.1942274755553615,0.17306932326905244,0.19504045751078028,0.00081298195541879,0.0016472161729523846
none,10,5,1.0,1.0,0.3094516886672909,0.017099186842106096,0.28966397655081033,0.011796745250192139,0.12605887095237372,0.10516534971482557,0.12695307433676875,0.0008942033843950092,0.002009766925850144
none,20,5,1.0,1.0,0.30962995267101984,0.01854986493915094,0.296228825765006,0.013740604341113134,0.12544197443342797,0.11035969717788605,0.12614669066907477,0.0007047162356468073,0.001527127504601745
none,40,5,1.0,1.0,0.31203014829237097,0.020474695319800586,0.30095907513747816,0.01820382772901433,0.12878083277781985,0.11643324816028011,0.12937816850595846,0.0005973357281386038,0.0013922492293631477
