method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,128,0.1,0.445925925925926,0.38721811713191023,0.52,0.38369719361098675
AE_VAD_none,128,10.0,0.45645113511663116,0.3321967654986523,0.46,0.33609867144349903
AE_VAD_affective,128,0.1,0.4573702873133613,0.36659559512922923,0.56,0.36641476339752205
