method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,32,10.0,0.2998367807292292,0.3054236772314248,0.5,0.30842663084042393
AE_VAD_none,32,0.1,0.32450201869981415,0.302921550646796,0.54,0.3151141961486789
AE_VAD_affective,32,0.1,0.2991691235593675,0.28670705630791166,0.53,0.3071055381400209
