method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,nonlinear,reconstruction_weight,geometry_weight
AE_VAD_geometry,True,16,0.22384917736053467,0.10960808396339417,0.15975258128076153,0.09916126728057861,0.09478674083948135,0.12219963852474611,0.06445109844207764,0.08052024990320206,0.10083048453260636,0.12915384769439697,0.7258343195266272,0.24546086032193468,True,0.1,0.1
AE_VAD,True,16,0.23035740852355957,0.11060482263565063,0.15908138773807315,0.09267717599868774,0.09447567164897919,0.12263863825856428,0.055148184299468994,0.08103286474943161,0.10133056567097526,0.1260609229405721,0.6927218934911243,0.2628332528068777,True,0.1,0.0
Supervised_nonlinear_geometry,True,16,0.0880700945854187,0.11878602206707001,0.17316318159785032,0.09568077325820923,0.09382185339927673,0.12243547752899675,0.07836920022964478,0.07866235077381134,0.10007765035047694,0.08737335602442424,0.7347573964497042,0.19442403121620605,True,0.0,0.1
Supervised_linear,True,16,0.096416175365448,0.1232408881187439,0.1723689545732447,0.1146090030670166,0.09094725549221039,0.12114735924089694,0.04496031999588013,0.08029637485742569,0.10187539630795256,0.08532849947611491,0.7541775147928994,0.1747649090937879,False,0.0,0.0
Supervised_nonlinear,True,16,0.09087002277374268,0.11790665984153748,0.1728971442774549,0.08319324254989624,0.0940428376197815,0.12327792409754626,0.07886612415313721,0.07840268313884735,0.10005066862037804,0.08430979649225871,0.7249585798816568,0.19257089965944077,True,0.0,0.0
