method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,geometry_target,geometry_weight,hybrid_alpha
AE_VAD_semantic,True,16,0.525614321231842,0.0864219069480896,0.11886922222179842,0.19818037748336792,0.08639924973249435,0.11005845429514027,0.18361937999725342,0.0731135830283165,0.0949982894803072,0.3024713595708211,0.841654342305739,0.22946840342554836,semantic,0.1,
AE_VAD_none,True,16,0.5193966627120972,0.08701006323099136,0.11964567806463093,0.1994660496711731,0.08626611530780792,0.10997018063794327,0.18468910455703735,0.07307413965463638,0.09493603110228672,0.30118393898010254,0.8136370746571864,0.3106869106592416,none,0.0,
AE_VAD_hybrid,True,16,0.523388147354126,0.08658038079738617,0.11914780470054911,0.19511735439300537,0.08657188713550568,0.11026847293744141,0.1805579662322998,0.07313554733991623,0.09517624390519214,0.29968782265981037,0.8343486033519554,0.3378263652931229,hybrid,0.1,0.5
AE_VAD_affective,True,16,0.521345317363739,0.08680170029401779,0.11940287821226378,0.20171868801116943,0.0862545520067215,0.10981534971937211,0.17568236589431763,0.0732596144080162,0.0954589697406104,0.2995821237564087,0.8185150837988827,0.39262806188575555,affective,0.1,
