method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,geometry_target,geometry_weight,hybrid_alpha
AE_VAD_affective,True,16,0.510196328163147,0.0890129879117012,0.12078545534059808,0.187183678150177,0.08638764917850494,0.11081059527898275,0.17232835292816162,0.07397180795669556,0.09565298070776133,0.28990278641382855,0.8187650584052819,0.3773650086469695,affective,0.1,
AE_VAD_none,True,16,0.5066195130348206,0.08924110233783722,0.12122568126878613,0.179729163646698,0.08668147772550583,0.1113175671573777,0.18163466453552246,0.07340928912162781,0.09511370055212662,0.28932778040568036,0.8231104113763332,0.2968704240386844,none,0.0,
AE_VAD_semantic,True,16,0.501028299331665,0.0896625816822052,0.12191063928366339,0.18129169940948486,0.0866890549659729,0.1112114939526651,0.18434232473373413,0.07333061844110489,0.0949562179384345,0.2888874411582947,0.8504418486541392,0.21497469606356412,semantic,0.1,
AE_VAD_hybrid,True,16,0.5064278841018677,0.08922744542360306,0.12124922216303552,0.17912286520004272,0.0868440791964531,0.11135870112101091,0.1766161322593689,0.07381370663642883,0.09540489010446114,0.28738896052042645,0.837996749619096,0.33462746604259797,hybrid,0.1,0.5
