id,private_reference,rank,sigma_max,sigma_middle,sigma_min,threshold,metric_0_0,metric_0_1,metric_0_2,metric_1_0,metric_1_1,metric_1_2,metric_2_0,metric_2_1,metric_2_2
20000419_apw_eng-NEW_95_111,train_mean,3,0.4177198060002325,0.38644064859534333,0.3627203736176231,4.177198060002325e-05,0.1552538519551416,0.004012894969767418,-0.019147858230974698,0.004012894969767418,0.14500651654923885,0.006915212077619637,-0.019147858230974698,0.006915212077619637,0.15513191214458907
easy_money_10424_10432,train_mean,3,0.41686189847152144,0.38380388869525645,0.3628010828437448,4.1686189847152146e-05,0.15222667135293955,0.0015735199188996957,-0.019195441384126422,0.0015735199188996957,0.14506274733222307,0.007401951265658863,-0.019195441384126422,0.007401951265658863,0.15541447440231296
Nathans_Bylichka_14294_14314,train_mean,3,0.4187718423246825,0.3839113293253477,0.36327059743045675,4.1877184232468256e-05,0.153901723998537,0.0015099093724249505,-0.019631303669223436,0.0015099093724249505,0.1447357269144982,0.007758399608317541,-0.019631303669223436,0.007758399608317541,0.15608584075281023
SemEval_229,train_mean,3,0.4176052405768883,0.3882810825843774,0.36284142791350327,4.176052405768883e-05,0.15727501927209284,0.0056601787976713214,-0.018601725450863246,0.0056601787976713214,0.14535801209111782,0.006487971382308565,-0.018601725450863246,0.006487971382308565,0.15417720649727612
wsj_0106_194_273,train_mean,3,0.41707441784039656,0.38809333451506306,0.36304058396823347,4.170744178403966e-05,0.15699604621287677,0.005315802824570257,-0.018417762099795273,0.005315802824570257,0.14544690629658955,0.006531491247623224,-0.018417762099795273,0.006531491247623224,0.153923019410456
SemEval_1382,train_mean,3,0.41744435785712186,0.38616787401923286,0.3623486799833059,4.174443578571219e-05,0.1544085834031387,0.0040234366239637305,-0.01925202131448118,0.0040234366239637305,0.1449824396763999,0.00681388109345394,-0.01925202131448118,0.00681388109345394,0.15529096163738446
HistoryLasVegas_12218_12346,train_mean,3,0.41775740198388434,0.3880847152815661,0.3640433635525416,4.1775740198388435e-05,0.1585236991770122,0.004451394107972137,-0.018194448246572358,0.004451394107972137,0.1454423858429978,0.007006558548325895,-0.018194448246572358,0.007006558548325895,0.15369247867413655
Black_and_white_6898_6942,train_mean,3,0.4170655993427261,0.38770277934241837,0.36322541388976276,4.170655993427261e-05,0.15677592424256276,0.004783389461962177,-0.018453277334344324,0.004783389461962177,0.14539428701525273,0.0066983258229154075,-0.018453277334344324,0.0066983258229154075,0.1540196493025172
Bartok_3174_3210,train_mean,3,0.41645339703817535,0.3866681127021536,0.3632473030306279,4.164533970381754e-05,0.1553546617593914,0.0037905391791903257,-0.01850453524024566,0.0037905391791903257,0.1453728846767301,0.006862959191620423,-0.01850453524024566,0.006862959191620423,0.15416671800818454
SemEval_1084,train_mean,3,0.41815585727418075,0.3869959691918872,0.3625118303568605,4.181558572741808e-05,0.15584089970963028,0.004678363357064427,-0.019245213335665007,0.004678363357064427,0.14496465705711675,0.0067768699465413085,-0.019245213335665007,0.0067768699465413085,0.1552294715254073
aspca1_522_534,train_mean,3,0.41946275810907196,0.3813866779110554,0.363924448092026,4.1946275810907195e-05,0.15246391215809196,-0.0010026582848513023,-0.019755920195835667,-0.0010026582848513023,0.1448742744737987,0.008515354687897467,-0.019755920195835667,0.008515354687897467,0.15650762081569608
110CYL071_2323_2391,train_mean,3,0.41680697876450834,0.38793158427947594,0.3628103014586944,4.1680697876450836e-05,0.15640436161004903,0.005336696641769833,-0.01847593993775012,0.005336696641769833,0.14544427826072465,0.006450011896653361,-0.01847593993775012,0.006450011896653361,0.15400164660215643
hotel-california_33964_33980,train_mean,3,0.4193335052999086,0.38310630468732854,0.3629240805217448,4.1933350529990864e-05,0.15305925069722132,0.001103474035409436,-0.020015706863479754,0.001103474035409436,0.14454470333006936,0.007891925616489603,-0.020015706863479754,0.007891925616489603,0.15672096355355195
wsj_0168_488_616,train_mean,3,0.41626250817817056,0.38766535467623126,0.3625737973032891,4.162625081781706e-05,0.15554062469567762,0.005242702022376915,-0.018474489772671212,0.005242702022376915,0.14548017795906173,0.0063571649388471305,-0.018474489772671212,0.0063571649388471305,0.1539978587672168
SemEval_540,train_mean,3,0.4171028689583406,0.3866904923860218,0.3617761720746469,4.171028689583406e-05,0.1541071416692507,0.004890986902600247,-0.019249449610442462,0.004890986902600247,0.1450598928315159,0.006444764031776091,-0.019249449610442462,0.006444764031776091,0.1552193043752405
Uprooted_Bike_4316_4386,train_mean,3,0.41682728719833995,0.3881623035043899,0.3635208391005659,4.1682728719834e-05,0.15748224754768614,0.004993728575118763,-0.018120429632576894,0.004993728575118763,0.1455698165364157,0.00665136325615253,-0.018120429632576894,0.00665136325615253,0.15351029759123927
captured_moments_16856_16952,train_mean,3,0.41834387717330423,0.387516979006023,0.36396231603390683,4.183438771733042e-05,0.15813947899992614,0.003987437448641218,-0.01857282834969131,0.003987437448641218,0.1452174711519831,0.0072010547696016135,-0.01857282834969131,0.0072010547696016135,0.15429262592720336
WhereToHongKong_42102_42243,train_mean,3,0.4157548196132794,0.3880673713628882,0.3629520972792061,4.1575481961327944e-05,0.1561189565495297,0.005355941482348521,-0.018056258202446183,0.005355941482348521,0.14570666026746243,0.006310248240996481,-0.018056258202446183,0.006310248240996481,0.1533569628505545
SemEval_1245,train_mean,3,0.41761826793826384,0.3879281684134024,0.36357618922357143,4.1761826793826385e-05,0.1577362828423155,0.004706392169062669,-0.018408996652859146,0.004706392169062669,0.14536955221324113,0.006853766276565899,-0.018408996652859146,0.006853766276565899,0.15397509187911013
HistoryLasVegas_12075_12217,train_mean,3,0.415678121905171,0.38824252555071465,0.3633011377523784,4.15678121905171e-05,0.15666869753061274,0.005261107374720636,-0.01783591290021134,0.005261107374720636,0.14579842955920422,0.006376277405451651,-0.01783591290021134,0.006376277405451651,0.15304114927896317
Fermentation_HR5034_6323_6339,train_mean,3,0.41970599333299957,0.38617571123412153,0.36476384372559056,4.197059933329996e-05,0.15837187052390667,0.002162304291175171,-0.01892193493935439,0.002162304291175171,0.1449804370370875,0.007949390663687387,-0.01892193493935439,0.007949390663687387,0.15498515491529247
captured_moments_11497_11701,train_mean,3,0.4166436154043845,0.3876207315387033,0.3633538511273664,4.166436154043845e-05,0.15659273243542982,0.004600839710230623,-0.01829368386763953,0.004600839710230623,0.14548393975218382,0.006701483570127141,-0.01829368386763953,0.006701483570127141,0.1537910827173109
The_Black_Willow_3108_3169,train_mean,3,0.41642317620641833,0.38771310842441736,0.3631861268774609,4.1642317620641836e-05,0.15637739709282295,0.004821429991516185,-0.018270298709031817,0.004821429991516185,0.14552357109278147,0.006586544526797945,-0.018270298709031817,0.006586544526797945,0.1537329106966124
NWF1_1606_1664,train_mean,3,0.41782194293460173,0.38685216088961444,0.3638720481004011,4.1782194293460173e-05,0.1570236811176546,0.003489891309867289,-0.018619374666846784,0.003489891309867289,0.1452203478409237,0.007230480250185231,-0.018619374666846784,0.007230480250185231,0.15438860881281205
vampires_1777_1901,train_mean,3,0.4172309384657088,0.38808705229150886,0.3636766652396567,4.172309384657088e-05,0.15780639795772658,0.004782261065986437,-0.018199296003119366,0.004782261065986437,0.14549320608016192,0.006790006503067693,-0.018199296003119366,0.006790006503067693,0.15365432897123715
20020731-nyt_25556_25589,train_mean,3,0.4173642610549126,0.3859472321390618,0.3639974664545041,4.173642610549126e-05,0.15594985805038308,0.0026166015775918334,-0.01860730501392025,0.0026166015775918334,0.1452577742178488,0.0073868369010140385,-0.01860730501392025,0.0073868369010140385,0.15443471571878203
SemEval_528,train_mean,3,0.4183080703274155,0.38620987342872337,0.362500685200978,4.1830807032741556e-05,0.15510875073269687,0.003983059039614262,-0.01945673086331265,0.003983059039614262,0.14482764257706726,0.006975552460426141,-0.01945673086331265,0.006975552460426141,0.15561006149629097
hotel-california_25160_25170,train_mean,3,0.4188468717429783,0.3858792902772307,0.3654570787529037,4.188468717429783e-05,0.15832047219399983,0.001357585509935106,-0.01837242720269343,0.001357585509935106,0.14532704986999312,0.008076375693320693,-0.01837242720269343,0.008076375693320693,0.15424688298035152
Fermentation_HR5034_6278_6406,train_mean,3,0.41611123851809134,0.3871629263648339,0.36356444173122704,4.161112385180914e-05,0.15603513012784662,0.003994410781598836,-0.018158983759814548,0.003994410781598836,0.14555493391057492,0.006806803156324977,-0.018158983759814548,0.006806803156324977,0.15363273362535884
blog-new-year's-resolutions_2191_2524,train_mean,3,0.41591246755701444,0.3884370201076062,0.363041588614251,4.1591246755701445e-05,0.1567222239418249,0.005680386851546398,-0.017947649676899297,0.005680386851546398,0.14576959169578746,0.006258919366663781,-0.017947649676899297,0.006258919366663781,0.15317387868538807
SemEval_835,train_mean,3,0.41812590762073126,0.38797507521621044,0.3642679561450462,4.181259076207313e-05,0.1588682646345485,0.0041393323210602755,-0.01823400442004389,0.0041393323210602755,0.145388676850746,0.007172108270576294,-0.01823400442004389,0.007172108270576294,0.15378813600147948
hsus4_5287_5379,train_mean,3,0.41556198024519664,0.386502634296774,0.3628606611396145,4.155619802451967e-05,0.15425045525553333,0.0038771570772998046,-0.018414181148138205,0.0038771570772998046,0.14548225780356666,0.006654606409226906,-0.018414181148138205,0.006654606409226906,0.15401119208723313
20000419_apw_eng-NEW_95_111,train_example_q25,3,0.4186535798896114,0.39418065566433824,0.3691840052391001,4.186535798896114e-05,0.160121134456516,0.004952984031833606,-0.017010633364323253,0.004952984031833606,0.15070119989429973,0.006599321530765534,-0.017010633364323253,0.006599321530765534,0.15612370462792313
easy_money_10424_10432,train_example_q25,3,0.41753255899114705,0.3918954725260978,0.36930744992379455,4.175325589911471e-05,0.15718285136874913,0.002583622926970516,-0.017137621242904227,0.002583622926970516,0.15073338096003436,0.0069483625006616055,-0.017137621242904227,0.0069483625006616055,0.1563872594445817
Nathans_Bylichka_14294_14314,train_example_q25,3,0.4193805039558337,0.39193749678983275,0.3697276370123534,4.1938050395583374e-05,0.15881504665118013,0.0025016272736683703,-0.01752134708533882,0.0025016272736683703,0.15037652497426363,0.007293368309848287,-0.01752134708533882,0.007293368309848287,0.15700196243342388
SemEval_229,train_example_q25,3,0.4189382251230662,0.39564860807875707,0.3692513309476048,4.189382251230662e-05,0.1620894727061648,0.006561727538651407,-0.016435741078102334,0.006561727538651407,0.1510701993301186,0.0062772070259729425,-0.016435741078102334,0.0062772070259729425,0.1552339309142171
wsj_0106_194_273,train_example_q25,3,0.41840878373527873,0.395522479266354,0.3694282772781343,4.1840878373527877e-05,0.16182447552797535,0.006232721028882609,-0.016267019658659492,0.006232721028882609,0.15116156850677837,0.006307470046582497,-0.016267019658659492,0.006307470046582497,0.15499514992977526
SemEval_1382,train_example_q25,3,0.41833217193722183,0.3939514838050239,0.3688557476483723,4.1833217193722186e-05,0.1592912175293232,0.004965351786737468,-0.017127677575709294,0.004965351786737468,0.1506850787753397,0.006494261546446577,-0.017127677575709294,0.006494261546446577,0.15627784393847016
HistoryLasVegas_12218_12346,train_example_q25,3,0.41909516393156765,0.3955356077009643,0.37031400886528404,4.1909516393156766e-05,0.16333235336555385,0.005385736119209582,-0.016029574015151447,0.005385736119209582,0.15112754352727747,0.006745366811077735,-0.016029574015151447,0.006745366811077735,0.15476174165924508
Black_and_white_6898_6942,train_example_q25,3,0.4183138874243031,0.3952306866047689,0.36960083705450053,4.183138874243031e-05,0.16161507991124824,0.005714030735392858,-0.01630890943649264,0.005714030735392858,0.1511015192293671,0.006445026829310318,-0.01630890943649264,0.006445026829310318,0.15508198365688197
Bartok_3174_3210,train_example_q25,3,0.41753128239495163,0.3944200159227719,0.36963925543796905,4.1753128239495166e-05,0.16023580197977932,0.0047527124936911575,-0.016393018640549605,0.0047527124936911575,0.15107681905491308,0.0065540173200078385,-0.016393018640549605,0.0065540173200078385,0.15522007886493627
SemEval_1084,train_example_q25,3,0.41914767499753625,0.3946229781114781,0.3689894471996077,4.1914767499753624e-05,0.16068583184402083,0.0055962996445819545,-0.017087642202207057,0.0055962996445819545,0.15066249832467213,0.006494400632966153,-0.017087642202207057,0.006494400632966153,0.15621695028539156
aspca1_522_534,train_example_q25,3,0.41992375769034224,0.38956278805675265,0.3703681633437394,4.199237576903422e-05,0.1574299983066361,4.56343233255236e-05,-0.017692686338778733,4.56343233255236e-05,0.15045105958532135,0.007911479827713036,-0.017692686338778733,0.007911479827713036,0.15738664663798496
110CYL071_2323_2391,train_example_q25,3,0.4181089681235553,0.39539787039107094,0.36922621753225626,4.181089681235553e-05,0.16124447308829515,0.006255515896351089,-0.016334147640993023,0.006255515896351089,0.15116535187830754,0.006225004541918405,-0.016334147640993023,0.006225004541918405,0.1550727598817125
hotel-california_33964_33980,train_example_q25,3,0.4198296890786568,0.3911734447216982,0.36943696731268616,4.198296890786568e-05,0.157984985784504,0.0020971901569996915,-0.017911661951873006,0.0020971901569996915,0.15017547175496032,0.007391385799101063,-0.017911661951873006,0.007391385799101063,0.1575968469650514
wsj_0168_488_616,train_example_q25,3,0.41752717176383936,0.3951983908298267,0.3690185797440978,4.1752717176383936e-05,0.16040067926928814,0.006169593973309796,-0.016350351145378843,0.006169593973309796,0.1512105344782353,0.006126470807702362,-0.016350351145378843,0.006126470807702362,0.15507420572442257
SemEval_540,train_example_q25,3,0.4180724551906661,0.3943833466258219,0.3683293418408661,4.180724551906661e-05,0.15898572907469258,0.005814342282608741,-0.01712521886129167,0.005814342282608741,0.15078272288347244,0.006171787717178138,-0.01712521886129167,0.006171787717178138,0.15622085398769525
Uprooted_Bike_4316_4386,train_example_q25,3,0.418223845538534,0.3955938383939251,0.3698474374586431,4.18223845538534e-05,0.16230944775968723,0.005923249304398439,-0.015974835512056057,0.005923249304398439,0.15127991221159157,0.006419216065123662,-0.015974835512056057,0.006419216065123662,0.1546034369757247
captured_moments_16856_16952,train_example_q25,3,0.41950833484392375,0.395074972363551,0.3702623384193292,4.1950833484392374e-05,0.16295526891641934,0.004926034991317102,-0.01640262553924736,0.004926034991317102,0.1508896057735002,0.006904678988230953,-0.01640262553924736,0.006904678988230953,0.15532080135341259
WhereToHongKong_42102_42243,train_example_q25,3,0.4171797431903159,0.3955205670160685,0.36934076499185825,4.17179743190316e-05,0.16097324982800154,0.00628736551204864,-0.015937233256103855,0.00628736551204864,0.15144191804007703,0.006097783256935985,-0.015937233256103855,0.006097783256935985,0.15447288987774282
SemEval_1245,train_example_q25,3,0.418899456756752,0.3954039878320555,0.3699084741535951,4.1889945675675204e-05,0.1625557377250096,0.005633871817439782,-0.01624844055638755,0.005633871817439782,0.15106435467955776,0.006598730915971282,-0.01624844055638755,0.006598730915971282,0.15503325531066786
