valence,arousal,dominance,sigma_min,near_training,pc1,pc2,pc3
-0.05824930965900421,-0.03882373496890068,0.050191262908329044,0.363763313399785,True,0.9899145258086844,-0.03411013594085152,0.02978446337164325
-0.05824930965900421,-0.025914745405316353,0.050191262908329044,0.3636112840652032,True,0.9901751742608467,-0.03516810237073145,0.029647230325794742
-0.05824930965900421,-0.013005755841732025,0.050191262908329044,0.3634569290864294,True,0.9904189038472047,-0.036223850789508225,0.02950952506565107
-0.05824930965900421,-9.676627814769745e-05,0.050191262908329044,0.3633004796200254,True,0.990645713027342,-0.037277366010846504,0.029371350512363996
-0.05824930965900421,0.01281222328543663,0.050191262908329044,0.36314214803683054,True,0.9908556005007403,-0.03832863286633458,0.029232709572451623
-0.05824930965900421,0.025721212849020958,0.050191262908329044,0.36298212982735734,True,0.9910485652069632,-0.03937763620615443,0.029093605137851482
-0.05824930965900421,0.038630202412605286,0.050191262908329044,0.3628206053050933,True,0.9912246063258209,-0.04042436089975209,0.028954040085975487
-0.05824930965900421,0.051539190113544464,0.050191262908329044,0.36265774115021837,True,0.9913837232557962,-0.041468791685972166,0.028814017300002284
-0.05824930965900421,0.06444817781448364,0.050191262908329044,0.3624936916942939,True,0.991525915684289,-0.04251091362599673,0.028673539608355354
-0.05824930965900421,0.07735717296600342,0.050191262908329044,0.36232860010198137,True,0.9916511835801916,-0.04355071225053834,0.028532609763736953
-0.05824930965900421,0.0902661606669426,0.050191262908329044,0.36216259980465565,True,0.9917595269412061,-0.044588171312508904,0.02839123074870296
-0.047870833426713943,-0.03882373496890068,0.050191262908329044,0.36394557410284023,True,0.9876781661537943,-0.03396752161238996,0.029294966024123046
-0.047870833426713943,-0.025914745405316353,0.050191262908329044,0.36378968617250257,True,0.9879364395820948,-0.03502579916879668,0.029157523631300853
-0.047870833426713943,-0.013005755841732025,0.050191262908329044,0.36363171131077376,True,0.9881778009021005,-0.03608186038802571,0.029019612498118543
-0.047870833426713943,-9.676627814769745e-05,0.050191262908329044,0.3634718640409783,True,0.9884022486434995,-0.03713569007095653,0.02888123554570769
-0.047870833426713943,0.01281222328543663,0.050191262908329044,0.36331034128859424,True,0.9886097815758059,-0.03818727303644245,0.028742395680565257
-0.047870833426713943,0.025721212849020958,0.050191262908329044,0.36314732422346,True,0.9888003987085363,-0.03923659412198371,0.028603095794606306
-0.047870833426713943,0.038630202412605286,0.050191262908329044,0.36298297989503947,True,0.9889740992913749,-0.04028363818439618,0.028463338765217082
-0.047870833426713943,0.051539190113544464,0.050191262908329044,0.36281746270671916,True,0.9891308827929284,-0.04132838994990032,0.028323127475579392
-0.047870833426713943,0.06444817781448364,0.050191262908329044,0.36265091562996427,True,0.9892707489699554,-0.04237083446720037,0.028182464754059455
-0.047870833426713943,0.07735717296600342,0.050191262908329044,0.3624834713184449,True,0.9893936978596175,-0.04341095725472488,0.028041353353227015
-0.047870833426713943,0.0902661606669426,0.050191262908329044,0.3623152534819638,True,0.9894997295318012,-0.0444487420525947,0.02789979625581458
-0.037492357194423676,-0.03882373496890068,0.050191262908329044,0.3641199870387612,True,0.9854354471296731,-0.03382429196195327,0.02880495076669046
-0.037492357194423676,-0.025914745405316353,0.050191262908329044,0.3639604841284612,True,0.9856913483035105,-0.03488287638930952,0.028667300138191257
-0.037492357194423676,-0.013005755841732025,0.050191262908329044,0.36379912318564966,True,0.9859303441863461,-0.03593924615517615,0.028529184231057002
-0.037492357194423676,-9.676627814769745e-05,0.050191262908329044,0.36363610227151005,True,0.9861524333778363,-0.036993386047806956,0.028390605966399023
-0.037492357194423676,0.01281222328543663,0.050191262908329044,0.3634716031109456,True,0.9863576147173854,-0.03804528087348028,0.028251568250694088
-0.037492357194423676,0.025721212849020958,0.050191262908329044,0.3633057928496035,True,0.9865458872843216,-0.039094915457172606,0.028112073975834016
-0.037492357194423676,0.038630202412605286,0.050191262908329044,0.3631388256039474,True,0.9867172503980585,-0.04014227464322865,0.027972126019184185
-0.037492357194423676,0.051539190113544464,0.050191262908329044,0.36297084385283745,True,0.9868717035971775,-0.04118734314540405,0.027831727263927533
-0.037492357194423676,0.06444817781448364,0.050191262908329044,0.3628019795710623,True,0.9870092467076507,-0.042230106000082555,0.027690880538379325
-0.037492357194423676,0.07735717296600342,0.050191262908329044,0.3626323552681678,True,0.9871298798347574,-0.0432705487135628,0.027549588594977477
-0.037492357194423676,0.0902661606669426,0.050191262908329044,0.3624620852965634,True,0.9872336031204111,-0.04430865501333706,0.027407854416634184
-0.027113880962133408,-0.03882373496890068,0.050191262908329044,0.3642866860531674,True,0.9831863731903283,-0.03368044676482945,0.028314420297748645
-0.027113880962133408,-0.025914745405316353,0.050191262908329044,0.3641238127864815,True,0.983439904914593,-0.03473933380099279,0.02817656254311301
-0.027113880962133408,-0.013005755841732025,0.050191262908329044,0.3639592996999834,True,0.9836765382248922,-0.03579600785318382,0.028038242959375556
-0.027113880962133408,-9.676627814769745e-05,0.050191262908329044,0.363793328729177,True,0.9838962717907076,-0.036850453697188985,0.027899464467628098
-0.027113880962133408,0.01281222328543663,0.050191262908329044,0.36362606678153175,True,0.9840991045211942,-0.03790265612687078,0.027760229974326176
-0.027113880962133408,0.025721212849020958,0.050191262908329044,0.3634576673904074,True,0.9842850355653484,-0.03895259995484205,0.027620542371342264
-0.027113880962133408,0.038630202412605286,0.050191262908329044,0.3632882721663357,True,0.9844540643121635,-0.040000270013134595,0.027480404536019368
-0.027113880962133408,0.051539190113544464,0.050191262908329044,0.3631180120956414,True,0.9846061903700517,-0.04104565100319772,0.027339819351546602
-0.027113880962133408,0.06444817781448364,0.050191262908329044,0.3629470085858707,True,0.984741413634045,-0.042088727949251156,0.027198789646187087
-0.027113880962133408,0.07735717296600342,0.050191262908329044,0.36277537442384283,True,0.9848597342773893,-0.04312948634562087,0.027057318172252764
-0.027113880962133408,0.0902661606669426,0.050191262908329044,0.3626032150136735,True,0.9849611525138683,-0.04416790990733029,0.026915407912837305
-0.01673540472984314,-0.03882373496890068,0.050191262908329044,0.3644458174856028,True,0.9809309488178705,-0.03353598579165105,0.027823377308312993
-0.01673540472984314,-0.025914745405316353,0.050191262908329044,0.36427981804504456,True,0.9811821139328831,-0.03459517116800703,0.027685313535305033
-0.01673540472984314,-0.013005755841732025,0.050191262908329044,0.36411238560587256,True,0.9814163875706661,-0.03565214523980219,0.027546791370555858
-0.01673540472984314,-9.676627814769745e-05,0.050191262908329044,0.36394368646185615,True,0.9816337684703847,-0.03670689277051511,0.027407813735138238
-0.01673540472984314,0.01281222328543663,0.050191262908329044,0.3637738732079648,True,0.9818342556108016,-0.03775939854175276,0.027268383535487762
-0.01673540472984314,0.025721212849020958,0.050191262908329044,0.36360308627748533,True,0.9820178482104336,-0.038809647353921485,0.02712850366345733
-0.01673540472984314,0.038630202412605286,0.050191262908329044,0.36343145528448095,True,0.982184545727711,-0.03985762402689922,0.026988176996370232
-0.01673540472984314,0.051539190113544464,0.050191262908329044,0.3632591002222312,True,0.9823343478407196,-0.04090331324998825,0.026847406417421248
-0.01673540472984314,0.06444817781448364,0.050191262908329044,0.3630861324156069,True,0.9824672545134026,-0.04194670003540098,0.026706194754825212
-0.01673540472984314,0.07735717296600342,0.050191262908329044,0.362912655394978,True,0.9825832659868216,-0.0429877698656456,0.026564544760771257
-0.01673540472984314,0.0902661606669426,0.050191262908329044,0.362738766061671,True,0.9826823825464659,-0.04402650644343878,0.026422459418536406
-0.006356928497552872,-0.03882373496890068,0.050191262908329044,0.36459753895322505,True,0.9786691785224809,-0.03339090880844923,0.027331824481994893
-0.006356928497552872,-0.025914745405316353,0.050191262908329044,0.3644286557093373,True,0.9789179799039295,-0.03445038825000447,0.027193555796582024
