method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,64,10.0,0.387835483448644,0.3489626904261051,0.48,0.33946484549932826
AE_VAD_none,64,0.1,0.3811189078456552,0.28782851938589643,0.51,0.30082848186296457
AE_VAD_affective,64,1.0,0.3896165425249833,0.34558966861598445,0.5,0.33290603075085834
