method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,64,0.1,0.38023794943574485,0.33965204408791677,0.51,0.3349417823555754
AE_VAD_none,64,10.0,0.46526634758662816,0.3288514686819772,0.53,0.34152112255560524
AE_VAD_affective,64,1.0,0.4274215056973678,0.33196741062016205,0.54,0.34077474249888046
