id,private_reference,rank,sigma_max,sigma_middle,sigma_min,threshold,metric_0_0,metric_0_1,metric_0_2,metric_1_0,metric_1_1,metric_1_2,metric_2_0,metric_2_1,metric_2_2
20000419_apw_eng-NEW_95_111,train_mean,3,0.41792317736964113,0.38635500506048426,0.3623334994782125,4.1792317736964115e-05,0.15518907915457447,0.004114146552795047,-0.019309613860625345,0.004114146552795047,0.14481273693252028,0.007009838038734353,-0.019309613860625345,0.007009838038734353,0.15521372087505636
easy_money_10424_10432,train_mean,3,0.4170400543392368,0.38369244452584067,0.362427659425697,4.170400543392368e-05,0.15215582040567374,0.0016774065693124316,-0.01934333579204544,0.0016774065693124316,0.14485655471849204,0.007502014542098954,-0.01934333579204544,0.007502014542098954,0.15548373210211217
Nathans_Bylichka_14294_14314,train_mean,3,0.4189574389422787,0.3838081928184756,0.3628844744721373,4.189574389422787e-05,0.15382734626641495,0.0016169001251890355,-0.01978594442502097,0.0016169001251890355,0.14452788864297175,0.007856102055556827,-0.01978594442502097,0.007856102055556827,0.1561639714231898
SemEval_229,train_mean,3,0.4178162004500603,0.3882125578555213,0.3624524788304932,4.178162004500603e-05,0.1572164758083861,0.005761804325886937,-0.01877035518810196,0.005761804325886937,0.1451711400272273,0.00658002442159249,-0.01877035518810196,0.00658002442159249,0.15426355101000705
wsj_0106_194_273,train_mean,3,0.4172883394434068,0.3880213165571758,0.3626510809092652,4.1728833944340685e-05,0.1569384833496159,0.005418224210664356,-0.018587092030146114,0.005418224210664356,0.14525602626923434,0.006625774107647524,-0.018587092030146114,0.006625774107647524,0.15401139720400808
SemEval_1382,train_mean,3,0.4176502407278845,0.38608356799097704,0.3619649706741828,4.176502407278845e-05,0.15435007099473014,0.004126967727337797,-0.019412173083673843,0.004126967727337797,0.14478994449982663,0.006908005355757252,-0.019412173083673843,0.006908005355757252,0.15537086955330864
HistoryLasVegas_12218_12346,train_mean,3,0.41795657499129946,0.38801246744595896,0.3636498567511985,4.1795657499129945e-05,0.1584587188722513,0.004558149769301546,-0.01836186056315328,0.004558149769301546,0.14524545916982384,0.007101480292992103,-0.01836186056315328,0.007101480292992103,0.1537784137450511
Black_and_white_6898_6942,train_mean,3,0.4172711672315807,0.38762618372350577,0.362835353297147,4.172711672315807e-05,0.15671278205274924,0.004886444257464855,-0.01861948964307372,0.004886444257464855,0.14520131475284012,0.006792904451758772,-0.01861948964307372,0.006792904451758772,0.15410468210753098
Bartok_3174_3210,train_mean,3,0.41665511950882556,0.3865788067411652,0.36286234935036715,4.166551195088256e-05,0.15529097958409271,0.0038908252623725366,-0.018665890124014393,0.0038908252623725366,0.14517449680311767,0.006961575984628123,-0.018665890124014393,0.006961575984628123,0.15424827062319452
SemEval_1084,train_mean,3,0.41836349227512115,0.38692082978554376,0.36212386921409156,4.183634922751212e-05,0.15578215016829686,0.004783004827234635,-0.01940862217898386,0.004783004827234635,0.14477589647631522,0.006868235160445817,-0.01940862217898386,0.006868235160445817,0.15531139020054163
