method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,geometry_target,geometry_weight,hybrid_alpha
AE_VAD_none,True,16,0.5145456790924072,0.08813857287168503,0.12024799063479855,0.18345236778259277,0.08670450747013092,0.11106464511080266,0.17966890335083008,0.07322868704795837,0.09522786173715411,0.2925556500752767,0.8203084814626714,0.2865110283573017,none,0.0,
AE_VAD_affective,True,16,0.5077542662620544,0.08895131945610046,0.1210861934334521,0.18670028448104858,0.08663210272789001,0.11084354075177351,0.17593681812286377,0.0736013650894165,0.09544423665032599,0.2901304562886556,0.8234214321990858,0.3875619257989562,affective,0.1,
AE_VAD_hybrid,True,16,0.5320868492126465,0.08685267716646194,0.11805551051118715,0.14842063188552856,0.08938285708427429,0.11342209248956138,0.12142360210418701,0.07670275121927261,0.09855058755257969,0.26731036106745404,0.8472666328085323,0.33505009781936596,hybrid,0.1,0.5
AE_VAD_semantic,True,16,0.5215893983840942,0.08753462880849838,0.11937243158014017,0.14494198560714722,0.08950947225093842,0.11365351266451598,0.1285662055015564,0.076505146920681,0.09814917615081023,0.2650325298309326,0.867727374301676,0.17806184586686194,semantic,0.1,
