method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,16,10.0,0.22224504076913712,0.23948653607468565,0.45,0.25570980743394534
AE_VAD_none,16,10.0,0.25558317582144835,0.3206922162804516,0.54,0.3326466636811464
AE_VAD_affective,16,1.0,0.25528409705624894,0.27568121533638773,0.47,0.286953276608449
