method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,nonlinear,reconstruction_weight,geometry_weight
AE_VAD_geometry,True,16,0.525614321231842,0.0864219069480896,0.11886922222179842,0.19818037748336792,0.08639924973249435,0.11005845429514027,0.18361937999725342,0.0731135830283165,0.0949982894803072,0.3024713595708211,0.841654342305739,0.22946840342554836,True,0.1,0.1
AE_VAD,True,16,0.5193966627120972,0.08701006323099136,0.11964567806463093,0.1994660496711731,0.08626611530780792,0.10997018063794327,0.18468910455703735,0.07307413965463638,0.09493603110228672,0.30118393898010254,0.8136370746571864,0.3106869106592416,True,0.1,0.0
Supervised_nonlinear,True,16,0.5071319937705994,0.08869398385286331,0.12116270255635933,0.1729196310043335,0.08780236542224884,0.11177866936110406,0.15946471691131592,0.07455438375473022,0.0963934263158391,0.27983878056208294,0.7542226510919249,0.3718065328829225,True,0.0,0.0
Supervised_nonlinear_geometry,True,16,0.5056741237640381,0.0888822078704834,0.12134177050153587,0.17716771364212036,0.0875476822257042,0.11149123857725321,0.14667385816574097,0.07514521479606628,0.09712408982406448,0.2765052318572998,0.8256422549517521,0.2128590859479026,True,0.0,0.1
Supervised_linear,True,16,0.4810805320739746,0.09221268445253372,0.12432361306204667,0.15445125102996826,0.08905230462551117,0.11301976476624158,0.0885726809501648,0.07828383147716522,0.10037613719643972,0.24136815468470255,0.728711528694769,0.3301407525706841,False,0.0,0.0
