"geometry_target","n_seeds","mean_vad_r2_mean","mean_vad_r2_sd","valence_r2_mean","arousal_r2_mean","dominance_r2_mean","trustworthiness_mean","trustworthiness_sd","vad_distance_spearman_mean","vad_distance_spearman_sd"
"none","5","0.28705968856811526","0.01092787977883342","0.5174985289573669","0.18058031797409058","0.1631002187728882","0.8288340883697309","0.01389565383136915","0.31205013145602034","0.02444722884991265"
"affective","5","0.2862998127937317","0.010263068789922235","0.515631914138794","0.18318309783935546","0.16008442640304565","0.8189273539867953","0.002876624026700292","0.40021837872128085","0.021713495324275817"
"hybrid","5","0.28157883485158286","0.012370684692005857","0.5205678343772888","0.17324817180633545","0.15092049837112426","0.841734403250381","0.005358784362257184","0.3451762367203621","0.01574625519508545"
"semantic","5","0.2813684821128845","0.01460987540186649","0.5181619167327881","0.17309904098510742","0.15284448862075806","0.8558240528186897","0.010010783008921453","0.21205655519979852","0.021312614345258312"
