"method","n_seeds","mean_vad_r2_mean","mean_vad_r2_sd","valence_r2_mean","arousal_r2_mean","dominance_r2_mean","trustworthiness_mean","vad_distance_spearman_mean"
"AE_VAD","5","0.13944167296091717","0.013698511633183405","0.2072206735610962","0.11061006784439087","0.1004942774772644","0.6972236686390534","0.25020454585768415"
"AE_VAD_geometry","5","0.13749916950861613","0.009250877955358876","0.20430421829223633","0.10642952919006347","0.10176376104354859","0.7202934911242604","0.2332339884756252"
"Supervised_nonlinear","5","0.12855025927225747","0.030850526669112647","0.22080105543136597","0.0850936770439148","0.0797560453414917","0.7005325443786983","0.259715455304318"
"Supervised_nonlinear_geometry","5","0.12451159556706745","0.029813737213773308","0.21068543195724487","0.07821013927459716","0.08463921546936035","0.72098224852071","0.23996184543919416"
"Supervised_linear","5","0.09314157962799073","0.029057602429737154","0.16161649227142333","0.08647178411483765","0.03133646249771118","0.7283266272189348","0.19979483506593437"
