method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,16,1.0,0.22626110502616525,0.23948653607468565,0.45,0.25570980743394534
AE_VAD_none,16,0.1,0.2352941176470588,0.25528381642512077,0.48,0.2741827138378862
AE_VAD_affective,16,0.1,0.26471130221130224,0.24176885916016352,0.5,0.2762725779967159
