method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,nonlinear,reconstruction_weight,geometry_weight
AE_VAD,True,16,0.17966312170028687,0.11411381512880325,0.16423697503875048,0.13442271947860718,0.09514311701059341,0.11978414544736907,0.13347309827804565,0.07739023864269257,0.09703974194461944,0.14918631315231323,0.699680473372781,0.3177578628876357,True,0.1,0.0
AE_VAD_geometry,True,16,0.1823347806930542,0.11265763640403748,0.163969314314313,0.1389007568359375,0.09557357430458069,0.11947389018001692,0.1202157735824585,0.07787914574146271,0.09777924897970888,0.14715043703715006,0.7263431952662722,0.29642020255692436,True,0.1,0.1
Supervised_linear,True,16,0.22658395767211914,0.11187393963336945,0.15947088274463067,0.07720798254013062,0.09834378957748413,0.12367966835205439,0.09248250722885132,0.07797053456306458,0.09930842882373828,0.13209148248036703,0.7042130177514794,0.20634838760996102,False,0.0,0.0
Supervised_nonlinear,True,16,0.20785242319107056,0.11055415868759155,0.16139046270521315,0.08839356899261475,0.09582280367612839,0.12292779352518857,0.08351379632949829,0.07947501540184021,0.09979793988614269,0.1265865961710612,0.6591597633136095,0.30050001448733765,True,0.0,0.0
Supervised_nonlinear_geometry,True,16,0.18092972040176392,0.11349249631166458,0.1641101370634596,0.07801187038421631,0.09662807732820511,0.12362578614624282,0.08256512880325317,0.07910297811031342,0.09984957960061296,0.11383557319641113,0.683810650887574,0.2759353650753077,True,0.0,0.1
