method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,nonlinear,reconstruction_weight,geometry_weight
Supervised_nonlinear,True,16,0.2556278705596924,0.10702575743198395,0.15644794680964685,0.09287691116333008,0.09622108191251755,0.12262513911169368,0.11115837097167969,0.07799553126096725,0.0982812811270757,0.15322105089823404,0.7020710059171598,0.2862992504651733,True,0.0,0.0
Supervised_nonlinear_geometry,True,16,0.24848026037216187,0.10757160186767578,0.1571972801946451,0.08368152379989624,0.09708346426486969,0.12324509095823814,0.12531155347824097,0.07733751088380814,0.09749566703576762,0.1524911125500997,0.7290887573964497,0.25412143727031966,True,0.0,0.1
AE_VAD,True,16,0.23802179098129272,0.10987737029790878,0.1582873085120226,0.10893774032592773,0.0917884036898613,0.12153473665734325,0.1067274808883667,0.07721047103404999,0.09852594307963794,0.1512290040651957,0.6836568047337278,0.23639582482561708,True,0.1,0.0
AE_VAD_geometry,True,16,0.23164647817611694,0.11031249165534973,0.15894810968254788,0.08794277906417847,0.09368380904197693,0.1229581853855615,0.10282140970230103,0.07764497399330139,0.09874112253786606,0.14080355564753214,0.7133136094674557,0.19913454488971488,True,0.1,0.1
Supervised_linear,True,16,0.14909303188323975,0.11520776897668839,0.16726915914337745,0.06683510541915894,0.09901239722967148,0.12437285365116908,-0.031755924224853516,0.08428658545017242,0.10588808497359739,0.06139073769251505,0.738603550295858,0.1755980833599844,False,0.0,0.0
