valence,arousal,dominance,sigma_min,near_training,pc1,pc2,pc3
-0.05884481221437454,-0.03791090101003647,0.049913549565254546,0.3624671566142748,True,0.9919124810259977,-0.03774303342817445,-0.013664092235515572
-0.05884481221437454,-0.025076735764741898,0.049913549565254546,0.3623070885444662,True,0.9921861941859575,-0.03876899256391181,-0.013568033734040646
-0.05884481221437454,-0.012242572382092476,0.049913549565254546,0.3621454406863502,True,0.9924431436005208,-0.03979275931070846,-0.013471459968925311
-0.05884481221437454,0.0005915919318795204,0.049913549565254546,0.3619824144704907,True,0.9926833281688269,-0.040814319384164896,-0.013374372903786971
-0.05884481221437454,0.013425756245851517,0.049913549565254546,0.36181819409384725,True,0.9929067469498831,-0.041833658219553656,-0.013276774518263037
-0.05884481221437454,0.026259928941726685,0.049913549565254546,0.3616529482595119,True,0.9931133993884775,-0.042850762007833755,-0.013178666708909112
-0.05884481221437454,0.039094094187021255,0.049913549565254546,0.36148683228200124,True,0.993303284780344,-0.04386561503988559,-0.013080051545727727
-0.05884481221437454,0.051928259432315826,0.049913549565254546,0.3613199889448711,True,0.9934764030401426,-0.044878203471719516,-0.012980930909264122
-0.05884481221437454,0.0647624209523201,0.049913549565254546,0.36115255023501164,True,0.9936327541522118,-0.04588851259500395,-0.012881306754267189
-0.05884481221437454,0.07759658992290497,0.049913549565254546,0.3609846381380651,True,0.9937723385102744,-0.04689652889342217,-0.01278118090802281
-0.05884481221437454,0.09043075144290924,0.049913549565254546,0.3608163661722327,True,0.9938951564548344,-0.04790223682247739,-0.012680555389623888
-0.048422157764434814,-0.03791090101003647,0.049913549565254546,0.3626390388574122,True,0.9896841134779776,-0.0375973220547688,-0.01322096321678412
-0.048422157764434814,-0.025076735764741898,0.049913549565254546,0.36247544206321175,True,0.9899554004271877,-0.038623599785291264,-0.013124759290763397
-0.048422157764434814,-0.012242572382092476,0.049913549565254546,0.362310491584829,True,0.9902099301716184,-0.03964768679491552,-0.013028043311164193
-0.048422157764434814,0.0005915919318795204,0.049913549565254546,0.3621443716169953,True,0.9904477016805067,-0.04066956878661255,-0.01293081724176086
-0.048422157764434814,0.013425756245851517,0.049913549565254546,0.36197725058651353,True,0.9906687140835959,-0.04168923118298368,-0.012833083062393003
-0.048422157764434814,0.026259928941726685,0.049913549565254546,0.36180928276490804,True,0.9908729668946044,-0.04270666016260715,-0.012734842669727717
-0.048422157764434814,0.039094094187021255,0.049913549565254546,0.3616406102636152,True,0.9910604594826541,-0.04372184000341952,-0.01263609813413377
-0.048422157764434814,0.051928259432315826,0.049913549565254546,0.3614713637722606,True,0.9912311918313601,-0.04473475684913138,-0.012536851336282618
-0.048422157764434814,0.0647624209523201,0.049913549565254546,0.36130166419928467,True,0.9913851639960224,-0.04574539597887949,-0.01243710423116844
