method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman
Supervised_nonlinear,True,16,0.214851975440979,0.11259648948907852,0.1606758458189294,0.1305384635925293,0.09480060636997223,0.12005260716349525,0.12985378503799438,0.07539507001638412,0.0972421928124416,0.15841474135716757,0.7271479289940829,0.2617228317533862
Isomap,False,16,0.12234735488891602,0.12071150541305542,0.16987761655550956,0.024719953536987305,0.09479178488254547,0.12714844863352456,0.09566766023635864,0.07692994922399521,0.09913400274694517,0.08091165622075398,0.8449349112426036,-0.006946298787992951
PCA,False,16,0.09544342756271362,0.12323907017707825,0.17246171123810608,0.0610538125038147,0.0924958884716034,0.12475752782732442,0.08154827356338501,0.07739410549402237,0.09990489822209397,0.07934850454330444,0.8837633136094675,-0.010352507119481815
Autoencoder,False,16,0.05346602201461792,0.12538565695285797,0.17641801471353585,0.03868907690048218,0.09302754700183868,0.12623458136697363,0.0683545470237732,0.07895991951227188,0.10061991682452415,0.053503215312957764,0.8953727810650888,-0.06443308155198768
Autoencoder_to_Isomap,False,16,0.004786789417266846,0.12942145764827728,0.18089762874283272,0.014854133129119873,0.09421096742153168,0.12778994520954948,0.05771428346633911,0.07840070128440857,0.10119287004205443,0.02578506867090861,0.8717041420118343,-0.0970192507964684
Raw_Qwen,False,2560,0.05150824785232544,0.13717803359031677,0.17660036503875856,-0.2780839204788208,0.11150684952735901,0.14555465021215358,-0.34784865379333496,0.09486457705497742,0.12102613945825291,-0.19147477547327676,1.0,-0.025580042042508605
