method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,32,1.0,0.294876443001443,0.3006224712107065,0.49,0.3016942827287655
AE_VAD_none,32,10.0,0.3430672230672231,0.3584269214896989,0.53,0.3538699805941185
AE_VAD_affective,32,1.0,0.3259727601832865,0.3018237934904601,0.5,0.31162860128377373
