method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,nonlinear,reconstruction_weight,geometry_weight
AE_VAD_geometry,True,16,0.20673251152038574,0.10728346556425095,0.16150450751233877,0.12409186363220215,0.09227019548416138,0.12049684768328606,0.048094987869262695,0.08290434628725052,0.10170806942957222,0.12630645434061685,0.7041420118343196,0.24099248384687363,True,0.1,0.1
AE_VAD,True,16,0.21131515502929688,0.1077331155538559,0.16103733008070087,0.12132787704467773,0.09261072427034378,0.12068681251763694,0.03644239902496338,0.0841253474354744,0.10232869776479409,0.12302847703297932,0.6924023668639053,0.2462976900669718,True,0.1,0.0
Supervised_nonlinear,True,16,0.2500206232070923,0.10359226167201996,0.15703609136453545,0.09401428699493408,0.095099076628685,0.12254823967712353,0.006651103496551514,0.08109357208013535,0.10389855919247175,0.11689533789952596,0.7020473372781065,0.25693223842258045,True,0.0,0.0
Supervised_nonlinear_geometry,True,16,0.24076896905899048,0.10469965636730194,0.15800171853327505,0.07803839445114136,0.09632822126150131,0.12362400825091115,0.014680445194244385,0.08065104484558105,0.10347779500420975,0.11116260290145874,0.7213964497041421,0.24510372940066363,True,0.0,0.1
Supervised_linear,True,16,0.1844434142112732,0.11445964872837067,0.16375775075907398,0.023313164710998535,0.0965324193239212,0.12724012066632287,0.012930154800415039,0.08099091798067093,0.10356965993897359,0.07356224457422893,0.7230650887573964,0.26115630474130663,False,0.0,0.0
