method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,128,1.0,0.4272668153102936,0.36831527223684085,0.48,0.3698219883564711
AE_VAD_none,128,0.1,0.3669740590793222,0.3481622027901519,0.51,0.3428515450067175
AE_VAD_affective,128,1.0,0.37106638354266436,0.37707553662838217,0.5,0.3603187042842215
