method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,64,1.0,0.38635143491581636,0.36308565294072537,0.5,0.3561315121659949
AE_VAD_none,64,10.0,0.4221578328170193,0.34510721247563353,0.56,0.35000746380056724
AE_VAD_affective,64,10.0,0.4400247488831624,0.43419521654815774,0.61,0.41831989849231227
