method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,nonlinear,reconstruction_weight,geometry_weight
Supervised_nonlinear,True,16,0.29963433742523193,0.1032106950879097,0.15175298931062106,0.06699037551879883,0.09561362117528915,0.12436250834178868,0.1185908317565918,0.07806470990180969,0.09786950668299695,0.16173851490020752,0.7144260355029586,0.2622748734870578,True,0.0,0.0
Supervised_nonlinear_geometry,True,16,0.2951781153678894,0.10392673313617706,0.15223499842471747,0.055638134479522705,0.09600906074047089,0.12511680033680744,0.12226974964141846,0.07778829336166382,0.09766504248138169,0.1576953331629435,0.7358579881656805,0.23022466423347382,True,0.0,0.1
AE_VAD,True,16,0.17674589157104492,0.11599883437156677,0.16452874055852446,0.09568482637405396,0.0927514061331749,0.12243520749298654,0.1706802248954773,0.07455409318208694,0.094933529519034,0.1477036476135254,0.7176568047337278,0.18773809870131844,True,0.1,0.0
AE_VAD_geometry,True,16,0.1769581437110901,0.1157509908080101,0.164507534785022,0.08205097913742065,0.09323536604642868,0.12335469329434656,0.17323553562164307,0.07406960427761078,0.09478716042657882,0.1440815528233846,0.7318343195266273,0.1841618507626784,True,0.1,0.1
Supervised_linear,True,16,0.15154588222503662,0.1202303096652031,0.16702789348766175,0.15039366483688354,0.08993040025234222,0.11867391916037576,0.03806525468826294,0.08036161214113235,0.10224249049179923,0.1133349339167277,0.7215739644970414,0.18110649052463212,False,0.0,0.0
