method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,32,1.0,0.29936038011695904,0.2849702380952381,0.49,0.29228989401403194
AE_VAD_none,32,10.0,0.3805046805046805,0.2614237614237614,0.51,0.28329601433049706
AE_VAD_affective,32,1.0,0.3318803801562422,0.2606421356421356,0.48,0.2751679355127631
