method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,geometry_target,geometry_weight,hybrid_alpha
AE_VAD_semantic,True,16,0.5198220014572144,0.08765064179897308,0.11959272343484285,0.18408071994781494,0.08721154928207397,0.11102190064390668,0.1283441185951233,0.0761885866522789,0.09816168165526434,0.2774156133333842,0.8593527679024886,0.2302074745028976,semantic,0.1,
AE_VAD_none,True,16,0.5232125520706177,0.08728516101837158,0.11916975149986356,0.17934507131576538,0.0873970314860344,0.11134362949356251,0.12963145971298218,0.07603446394205093,0.09808916931266845,0.27739636103312176,0.8446569832402235,0.35070778184710166,none,0.0,
AE_VAD_affective,True,16,0.521969199180603,0.08715901523828506,0.11932504170275395,0.18326640129089355,0.08705651015043259,0.11107729378138521,0.12605780363082886,0.0762481689453125,0.09829033511703669,0.27709780136744183,0.8185527679024885,0.43218519611489387,affective,0.1,
AE_VAD_hybrid,True,16,0.5193101763725281,0.08747224509716034,0.11965644675114362,0.18361234664916992,0.08713962882757187,0.11105376870160684,0.12620437145233154,0.07622648030519485,0.09828209132970027,0.2763756314913432,0.8442957846622652,0.3720581294205456,hybrid,0.1,0.5
