method,supervised_representation,dimensions,valence_r2,valence_mae,valence_rmse,arousal_r2,arousal_mae,arousal_rmse,dominance_r2,dominance_mae,dominance_rmse,mean_vad_r2,test_trustworthiness,test_vad_distance_spearman,geometry_target,geometry_weight,hybrid_alpha
AE_VAD_hybrid,True,16,0.5216261148452759,0.08808302134275436,0.11936785182222494,0.15996766090393066,0.088471420109272,0.11265048816512066,0.14980041980743408,0.07526962459087372,0.09694600272011718,0.2771313985188802,0.8447642458100559,0.346319125026178,hybrid,0.1,0.5
AE_VAD_none,True,16,0.5237182378768921,0.08810989558696747,0.11910654581166027,0.16090893745422363,0.08864222466945648,0.11258735741978652,0.13987696170806885,0.07570807635784149,0.09751012837395508,0.27483471234639484,0.8424574911122398,0.31547451237777263,none,0.0,
AE_VAD_affective,True,16,0.5168944597244263,0.08832376450300217,0.11995673899879097,0.15704643726348877,0.08850368857383728,0.11284618856087063,0.1504167914390564,0.07526557892560959,0.0969108505593182,0.2747858961423238,0.8153824276282376,0.4113517011598291,affective,0.1,
AE_VAD_semantic,True,16,0.5227555632591248,0.08817476034164429,0.11922685051317011,0.15700042247772217,0.08886563032865524,0.11284927102413558,0.13935041427612305,0.07586591690778732,0.09753997556345358,0.27303546667099,0.8599439309294058,0.20757035614012065,semantic,0.1,
