method,dimensions,selected_c,dev_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
Raw_Qwen,2560,0.01,0.5276839079656571,0.4230538186093742,0.56,0.4175063442304822
EmoBank_PCA,128,0.1,0.47191014262155145,0.40266621194336055,0.55,0.4012296611434542
AE_VAD_none,128,10.0,0.42702526941657376,0.3163191202406888,0.42,0.3136195700850873
AE_VAD_affective,128,1.0,0.35597268792484993,0.3435761119971646,0.44,0.33353298999850717
